,PC1,PC2
pageviews,0.03463190024628582,-0.022674993347580545
timeOnSite,0.02752159093038679,-0.054001454458946406
browser_woe,0.007583365256104103,-0.3147953166775045
country_woe,0.012785507987978848,-0.46125372337144693
source_woe,0.011514475289221685,-0.5264013431709231
transactions,0.02329440142231692,-0.2948959660192728
hits.eCom,0.001441760335684934,-0.10378491483945332
hour_ordinal,0.0010682576571457525,-0.21029432658182717
recency,0.003126241014577288,0.10180835539401344
monetary,0.013146501655602041,-0.10370393735880935
c_direct,-0.0008342163742485445,-0.02698632163909583
med_cpc,-3.81090599638694e-05,-0.000945970374536027
newVisits,-0.006603023570566915,0.1778588180166026
tablet,-0.00026239186905208117,0.003067110544842906
OS_windows,-0.003545134232871741,0.0826757190667921
OS_chrome,3.3046938148038524e-05,-0.006706548120886393
med_organic,-0.0004864943261839912,0.004952143297319679
OS_wii,-2.743388169633785e-06,8.571407089266407e-05
OS_windwsphone,-2.0332191276335507e-05,0.0005629353950805719
OS_linux,-0.00022101857130649155,-0.00673659062446691
hits,0.9983897621006024,0.030799668535021626
c_display,-4.4924626485104996e-05,-0.0019241413179602854
c_organic_search,-0.002036545835043043,-0.010898200867100487
bounces,-0.006324158578306989,0.12302460463278303
OS_xbox,-5.00477780703414e-07,2.4358242525546896e-05
OS_samsung,-3.0112920067008705e-06,7.442486721381697e-05
med_cpm,-4.4924626485104996e-05,-0.0019241413179602854
OS_firefox,-1.4974463233966336e-06,7.564856436521203e-05
c_referral,0.001721891033593613,-0.07257696953197337
OS_mac,-8.828670407185308e-06,0.00037473199089905785
mobile,-0.0018545513450432204,0.006431899302391633
frequency,0.005120314552125183,-0.30160724885066065
med_referral,-0.0046026719428724815,0.1958256745581366
c_social,-0.004313022250026386,0.1951565847208093
direct_is_true,0.0014836147867626289,-0.12463196433506026
c_paid_search,-0.00017754182136635,-0.004466756481332644
OS_blackberry,-2.8600731186731824e-06,2.0426442734085908e-05
repurchasers,0.000977971733123591,-0.025663716861901602
OS_ios,-0.0009643522059670004,0.008602042981825885
med_affiliate,-0.0001731736251615444,0.0036483032426337506
OS_android,-0.0010669282552586057,-0.0009012559151319791
